date,season,playoff,team1,team2,elo_favor_team,elo_under_team,elo_prob1,elo_avg,C50
2020-12-22,2021,,BRK,GSW,1489.19028489763,1395.12311978133,0.7534579055086146,1442.15670233948,Poor
2020-12-22,2021,,LAL,LAC,1646.07426936942,1597.21038160941,0.7020187236621975,1621.642325489415,Good
2020-12-23,2021,,PHI,WAS,1535.02222563292,1407.24441476704,0.7877129668818249,1471.13332019998,Average
2020-12-23,2021,,ORL,MIA,1603.15764575411,1494.650804829,0.512239882356939,1548.9042252915551,Average
2020-12-23,2021,,IND,NYK,1527.38688155675,1384.40367016955,0.8019812969450093,1455.89527586315,Blowout
2020-12-23,2021,,CLE,CHO,1424.01625820381,1363.40535383209,0.556443848561734,1393.7108060179498,Poor
2020-12-23,2021,,BOS,MIL,1645.59680651911,1604.75753651125,0.6922663211932208,1625.17717151518,Good
2020-12-23,2021,,TOR,NOP,1648.10880305694,1500.06452314411,0.806567293853252,1574.086663100525,Good
2020-12-23,2021,,MEM,SAS,1537.82101734069,1529.15667338919,0.6514734530937941,1533.48884536494,Good
2020-12-23,2021,,MIN,DET,1393.0484571868,1382.06088152452,0.6545038217923176,1387.55466935566,Poor
2020-12-23,2021,,CHI,ATL,1385.05026525318,1383.30672897938,0.6377495138874703,1384.1784971162801,Poor
2020-12-23,2021,,DEN,SAC,1557.33248707264,1503.94169353728,0.7074411052250624,1530.63709030496,Average
2020-12-23,2021,,POR,UTA,1542.07521444577,1510.51761366924,0.5972419072366248,1526.296414057505,Good
2020-12-23,2021,,PHO,DAL,1555.0111706088,1527.70404335084,0.6754279037560826,1541.35760697982,Good
2020-12-25,2021,,MIA,NOP,1595.18133967435,1525.9484379003,0.7259524513604411,1560.564888787325,Good
2020-12-25,2021,,MIL,GSW,1602.521778361,1386.70721464307,0.8603229375713581,1494.614496502035,Blowout
2020-12-25,2021,,BOS,BRK,1647.83256466936,1497.60619003589,0.8085194966803461,1572.719377352625,Good
2020-12-25,2021,,LAL,DAL,1632.66557675538,1523.97808871629,0.7687562762147295,1578.321832735835,Good
2020-12-25,2021,,DEN,LAC,1610.61907422345,1549.53969386831,0.5557781481440015,1580.07938404588,Good
2020-12-26,2021,,MEM,ATL,1521.2161622175,1407.7256866527,0.7736347409798666,1464.4709244351,Average
2020-12-26,2021,,WAS,ORL,1502.62711090876,1404.46734315466,0.5026482823206284,1453.54722703171,Poor
2020-12-26,2021,,CHO,OKC,1533.95197120833,1416.78117784965,0.5246906590882257,1475.36657452899,Average
2020-12-26,2021,,DET,CLE,1375.47486957698,1370.64043418625,0.6464510473995205,1373.0576518816151,Poor
2020-12-26,2021,,NYK,PHI,1537.7992972453,1380.13896345438,0.582226362561206,1458.96913034984,Poor
2020-12-26,2021,,CHI,IND,1531.65158827192,1360.63130757986,0.6008062461300947,1446.1414479258901,Poor
2020-12-26,2021,,SAS,TOR,1622.22488830075,1545.76152851238,0.5338202275491197,1583.993208406565,Good
2020-12-26,2021,,UTA,MIN,1562.77454926581,1399.63446913434,0.8197649860863632,1481.2045092000749,Blowout
2020-12-26,2021,,SAC,PHO,1558.73712524335,1511.73448674161,0.5756832422701159,1535.23580599248,Good
2020-12-26,2021,,POR,HOU,1541.1474311192,1489.8182788492,0.5695883721872778,1515.4828549842,Average
2020-12-27,2021,,LAC,DAL,1624.67642845631,1516.81722975242,0.7679075796415157,1570.7468291043651,Good
2020-12-27,2021,,WAS,ORL,1513.07497345149,1394.01948061193,0.5273955945708105,1453.54722703171,Poor
2020-12-27,2021,,NOP,SAS,1552.20163007071,1520.03354367973,0.5963962903023998,1536.11758687522,Good
2020-12-27,2021,,CHO,BRK,1539.65531103742,1412.25015822106,0.5393575940621391,1475.95273462924,Average
2020-12-27,2021,,NYK,MIL,1608.43552810417,1367.05597086582,0.6929284899158216,1487.745749484995,Blowout
2020-12-27,2021,,CLE,PHI,1550.8822898338601,1384.37740910661,0.5945561740073492,1467.629849470235,Poor
2020-12-27,2021,,IND,BOS,1605.78344366783,1543.59397531423,0.5541999270772805,1574.6887094910298,Good
2020-12-27,2021,,CHI,GSW,1380.7934648999,1348.68892053755,0.59648433263463,1364.741192718725,Poor
2020-12-27,2021,,SAC,PHO,1554.18571069697,1516.28590128799,0.5884296548138436,1535.23580599248,Good
2020-12-27,2021,,LAL,MIN,1639.82643571925,1414.24899023422,0.866940555497246,1527.0377129767348,Blowout
2020-12-28,2021,,ATL,DET,1427.08973213249,1361.73789465662,0.7214854059239327,1394.413813394555,Poor
2020-12-28,2021,,BRK,MEM,1534.3262709698,1501.85211673771,0.6819141666148018,1518.089193853755,Average
2020-12-28,2021,,OKC,UTA,1548.16002816593,1538.48299083692,0.6271339159039094,1543.321509501425,Good
2020-12-28,2021,,DEN,HOU,1537.14393278095,1535.48233963545,0.6378584819236502,1536.3131362082,Good
2020-12-28,2021,,LAL,POR,1645.10281956101,1493.82177718745,0.8094576468951927,1569.46229837423,Good
2020-12-29,2021,,CLE,NYK,1407.76557570026,1392.65164363654,0.6598552117172016,1400.2086096684,Poor
2020-12-29,2021,,WAS,CHI,1386.18706187422,1343.59009805212,0.6944176134474928,1364.88857996317,Poor
2020-12-29,2021,,IND,BOS,1602.28548316678,1547.09193581528,0.5641265544281127,1574.68870949103,Good
2020-12-29,2021,,PHI,TOR,1615.78478674242,1527.49412324021,0.5168447126603377,1571.639454991315,Good
2020-12-29,2021,,DET,GSW,1385.89228738533,1357.27130107682,0.6013014165021611,1371.581794231075,Poor
